id,date,ret,mcap
57636Q10,2019-10-31,0.020510316,194498.14
688910,2018-12-31,0.0020985603,190236.56
688910,2019-01-31,-0.019461215,190236.56
688910,2019-02-28,0.07951534,190236.56
688910,2019-03-29,0.025730133,190236.56
688910,2019-04-30,0.052241564,190236.56
688910,2019-05-31,-0.11119843,190236.56
688910,2019-06-28,0.067506194,190236.56
688910,2019-07-31,0.084517,190236.56
688910,2019-08-30,-0.011920214,190236.56
688910,2019-09-30,0.07106042,190236.56
688910,2019-10-31,0.11848044,190236.56
92343V10,2018-12-31,-0.067661643,232302.9
92343V10,2019-01-31,-0.009916365,232302.9
92343V10,2019-02-28,0.03378129,232302.9
92343V10,2019-03-29,0.038826466,232302.9
92343V10,2019-04-30,-0.022619665,232302.9
92343V10,2019-05-31,-0.049659014,232302.9
92343V10,2019-06-28,0.051149964,232302.9
92343V10,2019-07-31,-0.02201116,232302.9
92343V10,2019-08-30,0.05228877,232302.9
92343V10,2019-09-30,0.037826657,232302.9
92343V10,2019-10-31,0.01201117,232302.9
BMMV2K,2018-12-31,0.0060304403,379279
BMMV2K,2019-01-31,0.09947432,379279
BMMV2K,2019-02-28,-0.02986306,379279
BMMV2K,2019-03-29,0.075024247,379279
BMMV2K,2019-04-30,0.07541561,379279
BMMV2K,2019-05-31,-0.15669513,379279
BMMV2K,2019-06-28,0.08547831,379279
BMMV2K,2019-07-31,0.042188287,379279
BMMV2K,2019-08-30,-0.11870951,379279
BMMV2K,2019-09-30,0.016100407,379279
BMMV2K,2019-10-31,-0.028256893,379279
16676410,2018-12-31,-0.08533716,207009.7
16676410,2019-01-31,0.053865194,207009.7
16676410,2019-02-28,0.053379893,207009.7
16676410,2019-03-29,0.030105352,207009.7
16676410,2019-04-30,-0.025328815,207009.7
16676410,2019-05-31,-0.04181242,207009.7
16676410,2019-06-28,0.09301722,207009.7
16676410,2019-07-31,-0.010687888,207009.7
16676410,2019-08-30,-0.03411585,207009.7
16676410,2019-09-30,0.007475376,207009.7
16676410,2019-10-31,-0.020742,207009.7
94974610,2018-12-31,-0.15106851,211104.17
94974610,2019-01-31,0.071180463,211104.17
94974610,2019-02-28,0.020036817,211104.17
94974610,2019-03-29,-0.031469226,211104.17
94974610,2019-04-30,0.0018626451,211104.17
94974610,2019-05-31,-0.07415825,211104.17
94974610,2019-06-28,0.06648636,211104.17
94974610,2019-07-31,0.023034692,211104.17
94974610,2019-08-30,-0.027473688,211104.17
94974610,2019-09-30,0.08310068,211104.17
94974610,2019-10-31,0.023592472,211104.17
677172,2018-12-31,-0.06250298,235594.47
677172,2019-01-31,0.19588257,235594.47
677172,2019-02-28,-0.03322196,235594.47
677172,2019-03-29,-0.011271358,235594.47
677172,2019-04-30,-0.0021772385,235594.47
677172,2019-05-31,-0.09077179,235594.47
677172,2019-06-28,0.14919233,235594.47
677172,2019-07-31,-0.058309135,235594.47
677172,2019-08-30,-0.052317085,235594.47
677172,2019-09-30,0.13699234,235594.47
677172,2019-10-31,0.056402683,235594.47
58933Y10,2018-12-31,-0.029997408,198097.48
58933Y10,2019-01-31,-0.02591288,198097.48
58933Y10,2019-02-28,0.09216714,198097.48
58933Y10,2019-03-29,0.029892921,198097.48
58933Y10,2019-04-30,-0.053625107,198097.48
58933Y10,2019-05-31,0.0063524246,198097.48
58933Y10,2019-06-28,0.065522075,198097.48
58933Y10,2019-07-31,-0.01025641,198097.48
58933Y10,2019-08-30,0.04193282,198097.48
58933Y10,2019-09-30,-0.020122588,198097.48
58933Y10,2019-10-31,0.029460669,198097.48
19121610,2018-12-31,-0.06051594,202089.8
19121610,2019-01-31,0.016473174,202089.8
19121610,2019-02-28,-0.05796802,202089.8
19121610,2019-03-29,0.042346716,202089.8
19121610,2019-04-30,0.046948314,202089.8
19121610,2019-05-31,0.001426816,202089.8
19121610,2019-06-28,0.04457557,202089.8
19121610,2019-07-31,0.033582091,202089.8
19121610,2019-08-30,0.045791388,202089.8
19121610,2019-09-30,-0.0036337972,202089.8
19121610,2019-10-31,-0.00018364191,202089.8
711038,2018-12-31,-0.047682104,210963.44
711038,2019-01-31,0.07754278,210963.44
711038,2019-02-28,0.0462538,210963.44
711038,2019-03-29,0.021043181,210963.44
711038,2019-04-30,-0.04315281,210963.44
711038,2019-05-31,-0.007670641,210963.44
711038,2019-06-28,0.07692957,210963.44
711038,2019-07-31,-0.043838143,210963.44
711038,2019-08-30,0.015377641,210963.44
711038,2019-09-30,0.065067053,210963.44
711038,2019-10-31,0.03263247,210963.44
71708110,2018-12-31,-0.055807886,249547.06
71708110,2019-01-31,-0.019244015,249547.06
71708110,2019-02-28,0.021201372,249547.06
71708110,2019-03-29,-0.020299792,249547.06
71708110,2019-04-30,-0.043795643,249547.06
71708110,2019-05-31,0.031273007,249547.06
71708110,2019-06-28,0.043352604,249547.06
71708110,2019-07-31,-0.10341644,249547.06
71708110,2019-08-30,-0.075437665,249547.06
71708110,2019-09-30,0.010689259,249547.06
71708110,2019-10-31,0.067909837,249547.06
20030N10,2018-12-31,-0.12227631,154109.02
20030N10,2019-01-31,0.074008822,154109.02
20030N10,2019-02-28,0.05742407,154109.02
20030N10,2019-03-29,0.03387642,154109.02
20030N10,2019-04-30,0.094046955,154109.02
20030N10,2019-05-31,-0.058120785,154109.02
20030N10,2019-06-28,0.031219482,154109.02
20030N10,2019-07-31,0.02601695,154109.02
20030N10,2019-08-30,0.025249004,154109.02
20030N10,2019-09-30,0.018526912,154109.02
20030N10,2019-10-31,-0.0011091828,154109.02
09702310,2018-12-31,-0.069961967,183064.28
09702310,2019-01-31,0.1957209,183064.28
09702310,2019-02-28,0.146245,183064.28
09702310,2019-03-29,-0.13305748,183064.28
09702310,2019-04-30,-0.0097792745,183064.28
09702310,2019-05-31,-0.09008718,183064.28
09702310,2019-06-28,0.065571904,183064.28
09702310,2019-07-31,-0.062718096,183064.28
09702310,2019-08-30,0.07317245,183064.28
09702310,2019-09-30,0.04498887,183064.28
09702310,2019-10-31,-0.106605,183064.28
17275R10,2018-12-31,-0.09484011,195721.63
17275R10,2019-01-31,0.09900749,195721.63
17275R10,2019-02-28,0.09473455,195721.63
17275R10,2019-03-29,0.042881966,195721.63
17275R10,2019-04-30,0.042785764,195721.63
17275R10,2019-05-31,-0.07006258,195721.63
17275R10,2019-06-28,0.051893115,195721.63
17275R10,2019-07-31,0.018636942,195721.63
17275R10,2019-08-30,-0.15505415,195721.63
17275R10,2019-09-30,0.05554366,195721.63
17275R10,2019-10-31,-0.031370163,195721.63
710306,2018-12-31,-0.063377857,197028.64
710306,2019-01-31,0.022735715,197028.64
710306,2019-02-28,0.048153877,197028.64
710306,2019-03-29,0.08369613,197028.64
710306,2019-04-30,-0.039506257,197028.64
710306,2019-05-31,0.04825902,197028.64
710306,2019-06-28,0.068784714,197028.64
710306,2019-07-31,0.00980103,197028.64
710306,2019-08-30,-0.026246548,197028.64
710306,2019-09-30,-0.035257518,197028.64
710306,2019-10-31,0.005284786,197028.64
71344810,2018-12-31,-0.0863744,155666.33
71344810,2019-01-31,0.019822598,155666.33
71344810,2019-02-28,0.034592152,155666.33
71344810,2019-03-29,0.05975449,155666.33
71344810,2019-04-30,0.044879675,155666.33
71344810,2019-05-31,-0.00039047003,155666.33
71344810,2019-06-28,0.031914115,155666.33
71344810,2019-07-31,-0.025318444,155666.33
71344810,2019-08-30,0.06979108,155666.33
71344810,2019-09-30,0.0096907616,155666.33
71344810,2019-10-31,0.0005105734,155666.33
17296742,2018-12-31,-0.19648092,123302.41
17296742,2019-01-31,0.2381866,123302.41
17296742,2019-02-28,-0.00046539307,123302.41
17296742,2019-03-29,-0.027508557,123302.41
17296742,2019-04-30,0.13629055,123302.41
17296742,2019-05-31,-0.11456853,123302.41
17296742,2019-06-28,0.12678993,123302.41
17296742,2019-07-31,0.01613605,123302.41
17296742,2019-08-30,-0.08853298,123302.41
17296742,2019-09-30,0.07350433,123302.41
17296742,2019-10-31,0.04024315,123302.41
93114210,2018-12-31,-0.040757837,271252.8
93114210,2019-01-31,0.028770804,271252.8
93114210,2019-02-28,0.032974958,271252.8
93114210,2019-03-29,-0.009394884,271252.8
93114210,2019-04-30,0.05444479,271252.8
93114210,2019-05-31,-0.008459687,271252.8
93114210,2019-06-28,0.08921528,271252.8
93114210,2019-07-31,-0.0009955764,271252.8
93114210,2019-08-30,0.039952993,271252.8
93114210,2019-09-30,0.038683653,271252.8
93114210,2019-10-31,-0.011964917,271252.8
690064,2018-12-31,-0.025442064,166233.16
690064,2019-01-31,0.050465107,166233.16
690064,2019-02-28,-0.019145727,166233.16
690064,2019-03-29,-0.007778883,166233.16
690064,2019-04-30,0.057842016,166233.16
690064,2019-05-31,-0.05160981,166233.16
690064,2019-06-28,0.05573833,166233.16
690064,2019-07-31,0.0421623,166233.16
690064,2019-08-30,0.01357305,166233.16
690064,2019-09-30,0.032378078,166233.16
690064,2019-10-31,0.044887185,166233.16
00282410,2018-12-31,-0.023227572,126983.95
00282410,2019-01-31,0.013410807,126983.95
00282410,2019-02-28,0.063579082,126983.95
00282410,2019-03-29,0.029889226,126983.95
00282410,2019-04-30,-0.0007506609,126983.95
00282410,2019-05-31,-0.043112097,126983.95
00282410,2019-06-28,0.10468936,126983.95
00282410,2019-07-31,0.039476871,126983.95
00282410,2019-08-30,-0.020436287,126983.95
00282410,2019-09-30,-0.019338965,126983.95
00282410,2019-10-31,0.0031074286,126983.95
G5960L10,2018-12-31,-0.062237206,122448.46
G5960L10,2019-01-31,-0.028254151,122448.46
G5960L10,2019-02-28,0.02387154,122448.46
G5960L10,2019-03-29,0.011933684,122448.46
G5960L10,2019-04-30,-0.024923205,122448.46
G5960L10,2019-05-31,0.04245019,122448.46
G5960L10,2019-06-28,0.051954985,122448.46
G5960L10,2019-07-31,0.052264094,122448.46
G5960L10,2019-08-30,0.05836761,122448.46
G5960L10,2019-09-30,0.011771321,122448.46
G5960L10,2019-10-31,0.0025777817,122448.46
054052,2018-12-31,-0.027948499,165071.4
054052,2019-01-31,0.020086527,165071.4
054052,2019-02-28,-0.0048046708,165071.4
054052,2019-03-29,-0.0037133694,165071.4
054052,2019-04-30,0.070763826,165071.4
054052,2019-05-31,-0.05370265,165071.4
054052,2019-06-28,0.02822888,165071.4
054052,2019-07-31,-0.038204432,165071.4
054052,2019-08-30,-0.09178668,165071.4
054052,2019-09-30,0.06866932,165071.4
054052,2019-10-31,-0.0061807036,165071.4
58013510,2018-12-31,-0.058034,136213.95
58013510,2019-01-31,0.006814122,136213.95
58013510,2019-02-28,0.03479135,136213.95
58013510,2019-03-29,0.032963395,136213.95
58013510,2019-04-30,0.040389776,136213.95
58013510,2019-05-31,0.009414315,136213.95
58013510,2019-06-28,0.047359705,136213.95
58013510,2019-07-31,0.01473558,136213.95
58013510,2019-08-30,0.039910793,136213.95
58013510,2019-09-30,-0.014956176,136213.95
58013510,2019-10-31,-0.08388061,136213.95
00724F10,2018-12-31,-0.09825021,110328.875
00724F10,2019-01-31,0.09538544,110328.875
00724F10,2019-02-28,0.059236526,110328.875
00724F10,2019-03-29,0.015200019,110328.875
00724F10,2019-04-30,0.08540667,110328.875
00724F10,2019-05-31,-0.063439965,110328.875
00724F10,2019-06-28,0.08767069,110328.875
00724F10,2019-07-31,0.014288068,110328.875
00724F10,2019-08-30,-0.048015714,110328.875
00724F10,2019-09-30,-0.02903241,110328.875
00724F10,2019-10-31,0.006081462,110328.875
79466L30,2018-12-31,-0.040557566,104782.055
79466L30,2019-01-31,0.10951304,104782.055
79466L30,2019-02-28,0.07685721,104782.055
79466L30,2019-03-29,-0.032263994,104782.055
79466L30,2019-04-30,0.04407406,104782.055
79466L30,2019-05-31,-0.084306,104782.055
79466L30,2019-06-28,0.0021134615,104782.055
79466L30,2019-07-31,0.018256187,104782.055
79466L30,2019-08-30,0.010161877,104782.055
79466L30,2019-09-30,-0.048888326,104782.055
79466L30,2019-10-31,0.05423069,104782.055
68389X10,2018-12-31,-0.074036064,163984.81
